node,lon,lat,population,productivity,product,name
145,16.44061,7.242225,59.88786,2.108135,2,paoua - CAF
146,15.7607698,10.77948,0.001,0.001,1,
147,15.9511194,5.6910501,17.765,2.398424,1,baoro - CAF
148,16.250349,6.1756797,0.001,0.001,1,
149,16.077206,8.574358,301.5824,1.876515,19,moundou - TCD
150,16.3669205,6.3208299,30.57786,1.818256,1,bozoum - CAF
151,16.0609303,8.0346098,16.14752,0.9196843,1,bessao - TCD
152,15.8144693,9.8830996,0.001,0.001,1,
153,16.4502888,10.5119896,15.2385,4.127421,1,ba-illi - TCD
154,16.3063602,9.3920593,68.17874,1.622457,2,lai - TCD
155,15.9440699,5.2656698,0.001,0.001,1,
156,16.2233887,5.0362797,0.001,0.001,1,
157,16.6357002,5.6790099,23.70437,1.489921,1,binon - CAF
158,16.318302,1.40515,17.50069,2.734111,1,pokola - COG
159,16.4396496,8.2814693,14.21839,2.194584,1,donia - TCD
160,16.9249191,5.3853297,0.001,0.001,1,
161,17.46935,4.318939,29.539,1.271952,1,boda - CAF
162,17.5184402,8.9181194,107.1855,1.889894,4,koumra - TCD
163,17.455211,6.492666,58.76313,2.787135,2,bossangoa - CAF
164,16.6315002,7.9285197,108.9755,1.498899,4,gore - TCD
165,16.6266804,7.3415098,0.001,0.001,1,
166,17.3640194,12.1553392,0.001,0.001,1,
167,19.6925602,13.30019,46.03384,1.052504,1,oum hadjer - TCD
168,16.7320595,10.4628696,17.44242,3.27761,1,bousso - TCD
169,17.2771301,6.9893699,0.001,0.001,1,
170,17.3041687,7.1547298,0.001,0.001,1,
171,17.9369888,11.0624495,13.61109,1.580607,1,melfi - TCD
172,18.1694088,9.2109594,0.001,0.001,1,
173,17.101301,5.319309,35.50179,1.511849,1,yaloke - CAF
174,17.205019,4.74122,0.001,0.001,1,
175,17.65002,5.266678,19.66221,1.162134,1,bossembele - CAF
176,17.7726898,5.1345501,0.001,0.001,1,
177,18.2916088,7.3076496,24.16812,2.559531,1,batangafo - CAF
178,18.2176304,11.9814501,46.50886,1.381725,1,bitkine - TCD
179,18.2746792,6.5095301,20.95645,1.999772,1,bouca - CAF
180,17.987963,3.870437,21.884,3.056721,1,m'baiki - CAF
181,18.383302,9.145562,168.0988,1.764797,4,sarh - TCD
182,18.555526,4.361532,1606.979,2.187618,20,bangui - CAF
183,18.6884,12.18514,69.64152,1.985706,2,mongo - TCD
184,19.0769901,6.3214898,21.09154,2.75712,1,dekoa - CAF
185,18.6201801,7.6882896,21.57948,1.157314,1,kabo - CAF
186,18.8422203,7.2554598,0.001,0.001,1,
187,20.283433,11.043288,116.2177,1.790678,4,am timan - TCD
188,19.07827,5.7289,32.55195,1.953044,1,sibut - CAF
189,21.7223091,4.6208501,12.18141,1.95002,1,dimbi - CAF
190,19.187438,6.989613,65.65246,1.486899,2,kaga-bandoro - CAF
191,19.9792404,5.76651,23.42136,2.466363,1,grimari - CAF
192,20.675951,5.768074,96.14732,2.147464,2,bambari - CAF
193,20.832372,13.829383,194.1418,1.68879,4,abeche - TCD
194,21.409856,12.226433,50.79781,1.703497,2,goz beida - TCD
195,22.6137085,12.1152802,0.001,0.001,1,
196,22.818282,4.741398,60.30392,1.263089,2,bangassou - CAF
