from,to,delta_i,delta_tau,Ijk,Il,Iu
92,109,3.686662,0.5757227,44.46528,44.46528,90.0
87,107,1.118257,0.4170256,44.89749,44.89749,90.0
87,110,1.69945,0.5185328,26.09372,26.09372,90.0
79,111,3.298608,0.5204607,64.85397,64.85397,90.0
79,112,0.0,0.531308,103.2951,103.2951,103.2951
105,113,0.2606123,0.3246856,43.63526,43.63526,90.0
105,114,0.4366916,0.3888437,41.52308,41.52308,90.0
107,115,0.651856,0.3622375,65.06571,65.06571,90.0
106,116,0.8891786,0.4108498,64.88654,64.88654,90.0
113,117,1.055883,0.4769719,60.44583,60.44583,90.0
113,118,2.947997,0.5518111,53.11369,53.11369,90.0
114,116,2.061508,0.5594067,38.02741,38.02741,90.0
114,119,1.646838,0.5440365,27.57428,27.57428,90.0
100,104,0.5771443,0.3845623,25.1751,25.1751,90.0
102,120,0.3034366,0.3157742,41.27358,41.27358,90.0
95,121,3.707659,0.5547301,56.09357,56.09357,90.0
100,122,0.5706085,0.3935582,20.6722,20.6722,90.0
100,123,0.8181841,0.3994046,32.15157,32.15157,90.0
115,124,0.4531764,0.3770913,34.48643,34.48643,90.0
110,115,0.6810404,0.4507915,22.23864,22.23864,90.0
116,125,1.447168,0.390712,74.94774,74.94774,90.0
108,120,2.396632,0.5340262,51.57344,51.57344,90.0
120,126,0.2532887,0.3057249,37.37386,37.37386,90.0
120,127,1.425615,0.4483322,56.57968,56.57968,90.0
93,108,1.536762,0.4495887,57.59595,57.59595,90.0
122,123,0.5969362,0.3570914,40.70354,40.70354,90.0
122,128,0.4729408,0.3999995,43.47372,43.47372,90.0
123,129,3.771382,0.5355976,58.3931,58.3931,90.0
126,130,0.6016076,0.4234759,26.44997,26.44997,90.0
126,131,1.26526,0.4664448,43.13191,43.13191,90.0
117,132,1.961533,0.5330091,67.78863,67.78863,90.0
117,118,1.468292,0.4966852,61.19756,61.19756,90.0
124,127,0.1007835,0.2352864,7.245991,7.245991,90.0
110,124,0.4623768,0.4105003,21.18815,21.18815,90.0
127,130,0.9723115,0.4182901,48.38089,48.38089,90.0
127,133,1.059348,0.4402894,64.16642,64.16642,90.0
125,134,1.606421,0.4198157,72.50868,72.50868,90.0
125,135,2.307811,0.4963776,56.8498,56.8498,90.0
132,136,1.215885,0.5804499,11.90537,11.90537,90.0
132,137,2.874691,0.5746887,47.84086,47.84086,90.0
111,112,1.136259,0.4042557,39.31648,39.31648,90.0
93,138,0.7869498,0.3998264,44.34757,44.34757,90.0
93,139,0.7624398,0.3559464,58.04953,58.04953,90.0
110,140,0.8679314,0.3907445,70.21208,70.21208,90.0
110,133,2.004237,0.4118854,79.90863,79.90863,90.0
99,112,20.18158,0.6432723,87.71376,87.71376,90.0
121,128,1.551158,0.4364781,85.37686,85.37686,90.0
128,141,0.0,0.509641,94.78758,94.78758,94.78758
109,138,0.3817257,0.2610193,70.00174,70.00174,90.0
109,142,1.44818,0.4277269,54.58945,54.58945,90.0
130,143,0.4003873,0.3563428,27.6963,27.6963,90.0
130,131,0.7899603,0.4107075,60.35834,60.35834,90.0
138,144,0.9081363,0.3616269,68.56087,68.56087,90.0
138,145,3.077388,0.513912,68.71856,68.71856,90.0
129,146,0.5455453,0.3459358,70.50262,70.50262,90.0
129,140,0.5902507,0.3715692,80.37006,80.37006,90.0
140,146,0.2855384,0.349387,34.68,34.68,90.0
134,142,2.844973,0.5241575,63.78309,63.78309,90.0
134,147,1.84042,0.422263,74.27978,74.27978,90.0
134,148,2.002288,0.475175,55.86916,55.86916,90.0
139,144,0.1163169,0.2517205,3.511646,3.511646,90.0
139,149,2.336636,0.5034435,69.02134,69.02134,90.0
78,99,7.788029,0.5204679,88.2565,88.2565,90.0
76,78,0.0,0.5801686,92.70822,92.70822,92.70822
142,150,1.813099,0.503312,60.38008,60.38008,90.0
144,151,0.8082932,0.4222035,60.3897,60.3897,90.0
133,152,0.4335915,0.25813,85.09064,85.09064,90.0
121,141,0.9101229,0.4706485,42.56826,42.56826,90.0
146,153,1.479851,0.4676805,82.6281,82.6281,90.0
118,119,1.817359,0.4701525,58.79256,58.79256,90.0
118,137,1.099799,0.4634471,60.37386,60.37386,90.0
131,143,0.6451936,0.3683705,65.95157,65.95157,90.0
143,152,1.067941,0.345034,79.76762,79.76762,90.0
131,154,0.6176414,0.4229095,37.07106,37.07106,90.0
152,154,0.9606664,0.4608887,63.37802,63.37802,90.0
152,153,0.7622458,0.4901418,31.15367,31.15367,90.0
119,135,0.4283756,0.3891976,10.72021,10.72021,90.0
135,155,0.1179929,0.2713095,4.720834,4.720834,90.0
119,155,0.8781034,0.3969285,64.04204,64.04204,90.0
119,156,0.8447209,0.4030287,64.79928,64.79928,90.0
